0,0,4891893.884354,4891893.884702,4891894.790281,4891894.79158,4891894.843743,4891894.846501,4891895.751522,4891895.752938
0,1,4891899.966561,4891899.967236,4891900.862518,4891900.864625,4891900.9161,4891900.917645,4891901.820136,4891901.821157
0,2,4891906.047041,4891906.047359,4891906.935477,4891906.93662,4891906.988649,4891906.989677,4891907.881416,4891907.881975
0,3,4891912.146039,4891912.146381,4891913.033172,4891913.034823,4891913.076772,4891913.078133,4891913.970834,4891913.971792
0,4,4891918.206025,4891918.206605,4891919.091739,4891919.094164,4891919.134637,4891919.136059,4891920.039645,4891920.041092
0,5,4891924.26252,4891924.263077,4891925.161178,4891925.162794,4891925.207055,4891925.209226,4891926.114877,4891926.115845
0,6,4891930.330275,4891930.330695,4891931.223412,4891931.225425,4891931.279894,4891931.281927,4891932.190505,4891932.191633
0,7,4891936.393346,4891936.393808,4891937.285478,4891937.28688,4891937.336527,4891937.337445,4891938.232574,4891938.233549
0,8,4891942.483731,4891942.484164,4891943.376889,4891943.378262,4891943.426145,4891943.427987,4891944.322553,4891944.323672
0,9,4891948.546375,4891948.546962,4891949.448126,4891949.44882,4891949.498818,4891949.50057,4891950.410421,4891950.411308
1,0,4891954.6224,4891954.622858,4891956.058452,4891956.060513,4891956.127419,4891956.12905,4891957.604603,4891957.604902
1,1,4891961.239459,4891961.239804,4891962.675513,4891962.677753,4891962.739969,4891962.741922,4891964.176824,4891964.178029
1,2,4891967.856063,4891967.856619,4891969.285504,4891969.287368,4891969.350818,4891969.351798,4891970.806202,4891970.807378
1,3,4891974.463397,4891974.463717,4891975.897279,4891975.899038,4891975.963298,4891975.965914,4891977.408613,4891977.409645
1,4,4891981.073454,4891981.07392,4891982.508332,4891982.510149,4891982.577405,4891982.579066,4891984.03111,4891984.032581
1,5,4891987.687799,4891987.688741,4891989.125072,4891989.127331,4891989.188336,4891989.190269,4891990.630537,4891990.632083
1,6,4891994.300065,4891994.301358,4891995.738713,4891995.740569,4891995.801567,4891995.80427,4891997.236558,4891997.23772
1,7,4892000.919083,4892000.91968,4892002.348939,4892002.350571,4892002.413501,4892002.415771,4892003.859786,4892003.860916
1,8,4892007.521914,4892007.522482,4892008.959832,4892008.962275,4892009.025899,4892009.027959,4892010.47415,4892010.474959
1,9,4892014.141994,4892014.142877,4892015.577253,4892015.579565,4892015.637658,4892015.639842,4892017.08294,4892017.084053
