0,0,4891528.999107,4891528.999504,4891529.001376,4891529.002622,4891529.236609,4891529.247,4891529.252,4891529.26,4891529.366,4891529.370821,4891529.435205,4891529.438,4891529.515,4891529.521,4891529.523,4891529.529316,4891529.305713,4891529.306342,4891529.307976,4891529.308323
0,1,4891534.195477,4891534.195871,4891534.197589,4891534.19822,4891534.430054,4891534.438,4891534.44,4891534.446,4891534.527,4891534.530832,4891534.579964,4891534.582,4891534.66,4891534.665,4891534.667,4891534.670996,4891534.444666,4891534.44518,4891534.453853,4891534.454219
0,2,4891539.396308,4891539.396952,4891539.398643,4891539.399295,4891539.631281,4891539.639,4891539.641,4891539.647,4891539.726,4891539.730769,4891539.774693,4891539.777,4891539.857,4891539.863,4891539.865,4891539.870543,4891539.644659,4891539.645393,4891539.647137,4891539.647472
0,3,4891544.608169,4891544.608719,4891544.610427,4891544.611052,4891544.843404,4891544.849,4891544.851,4891544.855,4891544.933,4891544.93858,4891544.985039,4891544.989,4891545.085,4891545.091,4891545.093,4891545.098362,4891544.872515,4891544.873595,4891544.875472,4891544.875749
0,4,4891549.803568,4891549.804019,4891549.805964,4891549.806594,4891550.038084,4891550.043,4891550.046,4891550.05,4891550.132,4891550.137242,4891550.194,4891550.197,4891550.272,4891550.278,4891550.279,4891550.282932,4891550.056779,4891550.057409,4891550.059073,4891550.059401
0,5,4891555.010838,4891555.011583,4891555.013504,4891555.014151,4891555.246536,4891555.251,4891555.253,4891555.257,4891555.333,4891555.337347,4891555.388101,4891555.391,4891555.469,4891555.475,4891555.476,4891555.480107,4891555.253497,4891555.254253,4891555.255894,4891555.256198
0,6,4891560.220688,4891560.221051,4891560.222746,4891560.22335,4891560.455563,4891560.464,4891560.466,4891560.471,4891560.55,4891560.55365,4891560.598631,4891560.601,4891560.677,4891560.682,4891560.684,4891560.687917,4891560.461185,4891560.46196,4891560.463542,4891560.463869
0,7,4891565.425659,4891565.426246,4891565.427933,4891565.428521,4891565.660433,4891565.665,4891565.667,4891565.671,4891565.749,4891565.752651,4891565.808446,4891565.811,4891565.887,4891565.891,4891565.893,4891565.896764,4891565.670479,4891565.671059,4891565.672746,4891565.673026
0,8,4891570.630118,4891570.630494,4891570.632149,4891570.632835,4891570.865073,4891570.872,4891570.875,4891570.879,4891570.962,4891570.96711,4891571.017728,4891571.02,4891571.096,4891571.1,4891571.102,4891571.105544,4891570.878798,4891570.879481,4891570.881165,4891570.881549
0,9,4891575.827555,4891575.828087,4891575.830118,4891575.8309,4891576.062645,4891576.068,4891576.07,4891576.073,4891576.15,4891576.15379,4891576.196222,4891576.199,4891576.273,4891576.278,4891576.28,4891576.283582,4891576.057404,4891576.057902,4891576.059527,4891576.059885
1,0,4891581.025708,4891581.026085,4891581.028521,4891581.029388,4891581.261333,4891581.266,4891581.268,4891581.275,4891581.412,4891581.416595,4891581.4804,4891581.483,4891581.608,4891581.615,4891581.617,4891581.620472,4891581.393955,4891581.394719,4891581.396752,4891581.397011
1,1,4891586.232819,4891586.23338,4891586.235272,4891586.235793,4891586.468041,4891586.476,4891586.478,4891586.486,4891586.621,4891586.625811,4891586.687909,4891586.69,4891586.818,4891586.826,4891586.827,4891586.830701,4891586.604258,4891586.604993,4891586.606844,4891586.607137
1,2,4891591.43024,4891591.430533,4891591.432944,4891591.433825,4891591.665744,4891591.67,4891591.672,4891591.678,4891591.807,4891591.81149,4891591.876404,4891591.879,4891592.007,4891592.014,4891592.016,4891592.019616,4891591.793273,4891591.793856,4891591.795855,4891591.796222
1,3,4891596.631079,4891596.631471,4891596.633752,4891596.63441,4891596.867174,4891596.875,4891596.877,4891596.885,4891597.027,4891597.031022,4891597.096972,4891597.099,4891597.219,4891597.225,4891597.227,4891597.230583,4891597.004293,4891597.005031,4891597.00681,4891597.007088
1,4,4891601.84404,4891601.844314,4891601.846441,4891601.847073,4891602.078676,4891602.083,4891602.085,4891602.09,4891602.21,4891602.213624,4891602.270746,4891602.273,4891602.393,4891602.399,4891602.4,4891602.403475,4891602.177236,4891602.177789,4891602.179595,4891602.179861
1,5,4891607.049495,4891607.04998,4891607.052068,4891607.052705,4891607.285269,4891607.29,4891607.291,4891607.298,4891607.418,4891607.421986,4891607.47759,4891607.48,4891607.598,4891607.604,4891607.605,4891607.609324,4891607.383334,4891607.384026,4891607.386059,4891607.38638
1,6,4891612.258753,4891612.259116,4891612.261204,4891612.261764,4891612.493666,4891612.499,4891612.501,4891612.513,4891612.633,4891612.639022,4891612.697187,4891612.7,4891612.818,4891612.831,4891612.833,4891612.837484,4891612.611009,4891612.611538,4891612.613266,4891612.613587
1,7,4891617.459344,4891617.459743,4891617.461802,4891617.462462,4891617.694677,4891617.7,4891617.701,4891617.713,4891617.831,4891617.836055,4891617.902247,4891617.905,4891618.03,4891618.042,4891618.044,4891618.04805,4891617.821427,4891617.822186,4891617.824014,4891617.82432
1,8,4891622.665649,4891622.666063,4891622.668184,4891622.668834,4891622.9008,4891622.908,4891622.911,4891622.925,4891623.06,4891623.065059,4891623.123296,4891623.127,4891623.246,4891623.258,4891623.26,4891623.263972,4891623.037966,4891623.038469,4891623.040457,4891623.040829
1,9,4891627.860915,4891627.861196,4891627.86359,4891627.864283,4891628.097048,4891628.106,4891628.108,4891628.122,4891628.242,4891628.24682,4891628.314669,4891628.317,4891628.442,4891628.456,4891628.458,4891628.463347,4891628.237509,4891628.238096,4891628.239947,4891628.240242
