0,0,4892336.835273,4892336.83564,4892336.83746,4892336.838088,4892336.965112,4892336.972,4892336.976,4892336.988,4892336.99,4892336.995415,4892336.881817,4892336.884811,4892336.886428,4892336.886839
0,1,4892342.030441,4892342.030776,4892342.033234,4892342.034004,4892342.159887,4892342.165,4892342.167,4892342.174,4892342.176,4892342.18125,4892342.062626,4892342.063255,4892342.064833,4892342.065268
0,2,4892347.218338,4892347.219143,4892347.220788,4892347.221544,4892347.347388,4892347.353,4892347.355,4892347.361,4892347.363,4892347.367976,4892347.247461,4892347.248171,4892347.249854,4892347.250481
0,3,4892352.417622,4892352.417983,4892352.420171,4892352.421112,4892352.54684,4892352.552,4892352.555,4892352.563,4892352.566,4892352.572376,4892352.452927,4892352.456101,4892352.457848,4892352.458204
0,4,4892357.621307,4892357.621726,4892357.623325,4892357.623948,4892357.749863,4892357.758,4892357.76,4892357.77,4892357.774,4892357.780441,4892357.66049,4892357.662546,4892357.664184,4892357.664567
0,5,4892362.824771,4892362.825363,4892362.827033,4892362.827629,4892362.954251,4892362.961,4892362.964,4892362.972,4892362.975,4892362.98073,4892362.861024,4892362.86193,4892362.863973,4892362.864513
0,6,4892368.023463,4892368.02379,4892368.025633,4892368.026225,4892368.152698,4892368.158,4892368.16,4892368.167,4892368.169,4892368.175144,4892368.054478,4892368.055161,4892368.056876,4892368.057174
0,7,4892373.21477,4892373.215117,4892373.216787,4892373.217502,4892373.344464,4892373.352,4892373.355,4892373.363,4892373.365,4892373.370316,4892373.250438,4892373.250996,4892373.252573,4892373.252944
0,8,4892378.399128,4892378.399506,4892378.401314,4892378.401972,4892378.527697,4892378.533,4892378.535,4892378.54,4892378.542,4892378.547402,4892378.427051,4892378.427764,4892378.429481,4892378.429832
0,9,4892383.58305,4892383.583492,4892383.585172,4892383.585896,4892383.712204,4892383.719,4892383.721,4892383.729,4892383.731,4892383.736813,4892383.616052,4892383.61663,4892383.618186,4892383.61857
1,0,4892388.769211,4892388.769805,4892388.772226,4892388.77318,4892388.899386,4892388.905,4892388.906,4892388.916,4892388.918,4892388.921878,4892388.801193,4892388.801802,4892388.803578,4892388.803867
1,1,4892393.959113,4892393.95957,4892393.961641,4892393.962297,4892394.088292,4892394.094,4892394.096,4892394.106,4892394.107,4892394.111704,4892393.991137,4892393.991929,4892393.993707,4892393.994106
1,2,4892399.143994,4892399.144353,4892399.146768,4892399.147371,4892399.273963,4892399.281,4892399.283,4892399.295,4892399.297,4892399.302148,4892399.182185,4892399.182753,4892399.184541,4892399.184822
1,3,4892404.329697,4892404.330114,4892404.332002,4892404.332692,4892404.459031,4892404.464,4892404.466,4892404.475,4892404.477,4892404.481285,4892404.360905,4892404.361557,4892404.363295,4892404.363651
1,4,4892409.519268,4892409.519693,4892409.521608,4892409.52228,4892409.648087,4892409.653,4892409.654,4892409.662,4892409.664,4892409.668391,4892409.547538,4892409.548287,4892409.550573,4892409.550958
1,5,4892414.70673,4892414.707114,4892414.709436,4892414.710139,4892414.836511,4892414.841,4892414.844,4892414.855,4892414.857,4892414.862046,4892414.741845,4892414.742671,4892414.744582,4892414.74501
1,6,4892419.893243,4892419.893778,4892419.895884,4892419.896449,4892420.023209,4892420.028,4892420.03,4892420.04,4892420.042,4892420.047884,4892419.927043,4892419.927664,4892419.929675,4892419.93002
1,7,4892425.082117,4892425.082488,4892425.084449,4892425.085058,4892425.211361,4892425.219,4892425.22,4892425.229,4892425.231,4892425.234959,4892425.114495,4892425.115077,4892425.116901,4892425.117136
1,8,4892430.264213,4892430.264691,4892430.266691,4892430.267568,4892430.394911,4892430.402,4892430.405,4892430.415,4892430.416,4892430.421335,4892430.30109,4892430.301789,4892430.30357,4892430.304045
1,9,4892435.448634,4892435.449539,4892435.451503,4892435.452358,4892435.5784,4892435.583,4892435.585,4892435.591,4892435.594,4892435.597802,4892435.477268,4892435.478018,4892435.479952,4892435.480322
